Brand,Model,Title,Description,Price (USD),Rating (out of 5),Availability,Battery_Type,Waterproof
Oral-B,Genius X,Oral-B Genius X – Silver Standard,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: Silver, Bundle: Standard. Provides superior plaque removal and gum protection.",194.08,4.7,Online Only,NiMH Rechargeable,Splash Resistant
Oral-B,Vitality,Oral-B Vitality – White Travel Case,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: White, Bundle: Travel Case. Provides superior plaque removal and gum protection.",28.9,4.3,Limited Edition,NiMH Rechargeable,Splash Resistant
Oral-B,Smart 1500,Oral-B Smart 1500 – Blue Family Set,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: Blue, Bundle: Family Set. Provides superior plaque removal and gum protection.",79.42,4.5,Online Only,AA Battery Powered,Fully Waterproof
Oral-B,iO Series 9,Oral-B iO Series 9 – Silver Travel Case,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: Silver, Bundle: Travel Case. Provides superior plaque removal and gum protection.",271.57,4.9,Limited Edition,AA Battery Powered,Fully Waterproof
Oral-B,iO Series 9,Oral-B iO Series 9 – Blue Family Set,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: Blue, Bundle: Family Set. Provides superior plaque removal and gum protection.",301.76,4.9,Limited Edition,Rechargeable Lithium-Ion,IPX7 Waterproof
Oral-B,Pro 1000,Oral-B Pro 1000 – Rose Gold Standard,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: Rose Gold, Bundle: Standard. Provides superior plaque removal and gum protection.",43.6,4.3,Out of Stock,Rechargeable Lithium-Ion,IPX7 Waterproof
Oral-B,Vitality,Oral-B Vitality – Blue Gift Edition,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: Blue, Bundle: Gift Edition. Provides superior plaque removal and gum protection.",30.77,4.3,Limited Edition,NiMH Rechargeable,Fully Waterproof
Oral-B,Pro 1000,Oral-B Pro 1000 – Silver Gift Edition,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: Silver, Bundle: Gift Edition. Provides superior plaque removal and gum protection.",37.9,4.6,Out of Stock,Rechargeable Lithium-Ion,Splash Resistant
Oral-B,Genius X,Oral-B Genius X – Rose Gold Standard,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: Rose Gold, Bundle: Standard. Provides superior plaque removal and gum protection.",196.65,4.9,In Stock,NiMH Rechargeable,Splash Resistant
Oral-B,Smart 1500,Oral-B Smart 1500 – White 2-Pack,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: White, Bundle: 2-Pack. Provides superior plaque removal and gum protection.",87.29,4.5,Limited Edition,NiMH Rechargeable,Fully Waterproof
Oral-B,Smart 1500,Oral-B Smart 1500 – Blue Standard,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: Blue, Bundle: Standard. Provides superior plaque removal and gum protection.",76.22,4.5,Out of Stock,NiMH Rechargeable,Fully Waterproof
Oral-B,Genius X,Oral-B Genius X – White Standard,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: White, Bundle: Standard. Provides superior plaque removal and gum protection.",195.85,4.7,Out of Stock,Rechargeable Lithium-Ion,Splash Resistant
Oral-B,Smart 1500,Oral-B Smart 1500 – Rose Gold Family Set,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: Rose Gold, Bundle: Family Set. Provides superior plaque removal and gum protection.",85.01,4.8,Limited Edition,Rechargeable Lithium-Ion,IPX7 Waterproof
Oral-B,iO Series 9,Oral-B iO Series 9 – White Standard,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: White, Bundle: Standard. Provides superior plaque removal and gum protection.",289.26,4.7,Limited Edition,AA Battery Powered,Splash Resistant
Oral-B,Pro 1000,Oral-B Pro 1000 – White Family Set,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: White, Bundle: Family Set. Provides superior plaque removal and gum protection.",42.8,4.6,Online Only,AA Battery Powered,IPX7 Waterproof
Oral-B,Genius X,Oral-B Genius X – White Travel Case,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: White, Bundle: Travel Case. Provides superior plaque removal and gum protection.",207.83,4.7,Out of Stock,AA Battery Powered,Fully Waterproof
Oral-B,iO Series 9,Oral-B iO Series 9 – Blue Gift Edition,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: Blue, Bundle: Gift Edition. Provides superior plaque removal and gum protection.",326.96,4.7,Online Only,NiMH Rechargeable,Splash Resistant
Oral-B,Genius X,Oral-B Genius X – Black Standard,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: Black, Bundle: Standard. Provides superior plaque removal and gum protection.",212.04,4.7,Limited Edition,Rechargeable Lithium-Ion,Fully Waterproof
Oral-B,Vitality,Oral-B Vitality – Rose Gold Family Set,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: Rose Gold, Bundle: Family Set. Provides superior plaque removal and gum protection.",32.98,4.3,Out of Stock,AA Battery Powered,IPX7 Waterproof
Oral-B,Genius X,Oral-B Genius X – Black Travel Case,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: Black, Bundle: Travel Case. Provides superior plaque removal and gum protection.",216.2,4.7,Out of Stock,Rechargeable Lithium-Ion,IPX7 Waterproof
Oral-B,iO Series 9,Oral-B iO Series 9 – Rose Gold 2-Pack,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: Rose Gold, Bundle: 2-Pack. Provides superior plaque removal and gum protection.",285.7,4.8,Out of Stock,Rechargeable Lithium-Ion,Fully Waterproof
Oral-B,Vitality,Oral-B Vitality – Silver Gift Edition,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: Silver, Bundle: Gift Edition. Provides superior plaque removal and gum protection.",28.14,4.2,Limited Edition,Rechargeable Lithium-Ion,Splash Resistant
Oral-B,Pro 1000,Oral-B Pro 1000 – White Standard,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: White, Bundle: Standard. Provides superior plaque removal and gum protection.",43.92,4.4,Online Only,AA Battery Powered,Splash Resistant
Oral-B,iO Series 9,Oral-B iO Series 9 – Rose Gold Standard,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: Rose Gold, Bundle: Standard. Provides superior plaque removal and gum protection.",271.55,4.8,Out of Stock,NiMH Rechargeable,IPX7 Waterproof
Oral-B,iO Series 9,Oral-B iO Series 9 – Silver Standard,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: Silver, Bundle: Standard. Provides superior plaque removal and gum protection.",312.56,4.9,Limited Edition,AA Battery Powered,IPX7 Waterproof
Oral-B,Genius X,Oral-B Genius X – Blue Family Set,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: Blue, Bundle: Family Set. Provides superior plaque removal and gum protection.",191.64,4.6,Limited Edition,Rechargeable Lithium-Ion,Fully Waterproof
Oral-B,Genius X,Oral-B Genius X – Silver Family Set,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: Silver, Bundle: Family Set. Provides superior plaque removal and gum protection.",200.61,4.9,Out of Stock,AA Battery Powered,IPX7 Waterproof
Oral-B,Genius X,Oral-B Genius X – Blue Standard,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: Blue, Bundle: Standard. Provides superior plaque removal and gum protection.",201.94,4.9,Out of Stock,Rechargeable Lithium-Ion,Splash Resistant
Oral-B,Pro 1000,Oral-B Pro 1000 – Rose Gold 2-Pack,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: Rose Gold, Bundle: 2-Pack. Provides superior plaque removal and gum protection.",43.99,4.3,Limited Edition,Rechargeable Lithium-Ion,Fully Waterproof
Oral-B,iO Series 9,Oral-B iO Series 9 – Rose Gold Travel Case,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: Rose Gold, Bundle: Travel Case. Provides superior plaque removal and gum protection.",278.13,4.7,Online Only,NiMH Rechargeable,Splash Resistant
Oral-B,Genius X,Oral-B Genius X – White Family Set,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: White, Bundle: Family Set. Provides superior plaque removal and gum protection.",180.2,4.6,Limited Edition,Rechargeable Lithium-Ion,IPX7 Waterproof
Oral-B,Vitality,Oral-B Vitality – Rose Gold Standard,"Electric toothbrush by Oral-B featuring advanced oscillating-rotating technology. Color: Rose Gold, Bundle: Standard. Provides superior plaque removal and gum protection.",28.44,4.3,In Stock,Rechargeable Lithium-Ion,IPX7 Waterproof
Philips Sonicare,4100,Philips Sonicare 4100 – Black Standard,"Sonic electric toothbrush in Black (Standard). Modes: Clean, White, Gum Care. Key features: pressure sensor for gentle brushing, compact travel case included. Ideal for daily plaque removal and gum care.",51.99,4.3,Limited Edition,NiMH Rechargeable,IPX7 Waterproof
Philips Sonicare,4100,Philips Sonicare 4100 – White Standard,"Sonic electric toothbrush in White (Standard). Modes: Clean, White, Gum Care. Key features: compact travel case included, IPX7 water resistant handle. Ideal for daily plaque removal and gum care.",45.99,4.6,Limited Edition,AA Battery Powered,Fully Waterproof
Philips Sonicare,5100,Philips Sonicare 5100 – Black Travel Case,"Sonic electric toothbrush in Black (Travel Case). Modes: Clean, White, Gum Care. Key features: replacement reminder for brush heads, IPX7 water resistant handle. Ideal for daily plaque removal and gum care.",84.99,4.4,Online Only,NiMH Rechargeable,Splash Resistant
Philips Sonicare,5100,Philips Sonicare 5100 – Pink Standard,"Sonic electric toothbrush in Pink (Standard). Modes: Clean, White, Gum Care, Sensitive, Deep Clean. Key features: pressure sensor for gentle brushing, IPX7 water resistant handle. Ideal for daily plaque removal and gum care.",85.99,4.4,In Stock,NiMH Rechargeable,IPX7 Waterproof
Philips Sonicare,4100,Philips Sonicare 4100 – Pink Family Pack (4 heads),"Sonic electric toothbrush in Pink (Family Pack (4 heads)). Modes: Clean, White, Gum Care. Key features: compact travel case included, IPX7 water resistant handle. Ideal for daily plaque removal and gum care.",49.99,4.3,Limited Edition,AA Battery Powered,Splash Resistant
Philips Sonicare,5100,Philips Sonicare 5100 – Mint Pro Care (8 heads),"Sonic electric toothbrush in Mint (Pro Care (8 heads)). Modes: Clean, White, Gum Care, Sensitive, Deep Clean. Key features: IPX7 water resistant handle, USB fast charging; 30+ days battery. Ideal for daily plaque removal and gum care.",75.99,4.5,Limited Edition,NiMH Rechargeable,IPX7 Waterproof
Philips Sonicare,4100,Philips Sonicare 4100 – Lavender Family Pack (4 heads),"Sonic electric toothbrush in Lavender (Family Pack (4 heads)). Modes: Clean, White, Gum Care. Key features: 2-minute smart timer with 30-second pacer, compact travel case included. Ideal for daily plaque removal and gum care.",49.99,4.6,Out of Stock,NiMH Rechargeable,Fully Waterproof
Philips Sonicare,5100,Philips Sonicare 5100 – Pink Family Pack (4 heads),"Sonic electric toothbrush in Pink (Family Pack (4 heads)). Modes: Clean, White, Gum Care, Sensitive. Key features: USB fast charging; 30+ days battery, 2-minute smart timer with 30-second pacer. Ideal for daily plaque removal and gum care.",75.99,4.6,Limited Edition,NiMH Rechargeable,IPX7 Waterproof
Philips Sonicare,4100,Philips Sonicare 4100 – Pink Gift Set,"Sonic electric toothbrush in Pink (Gift Set). Modes: Clean, White, Gum Care. Key features: 2-minute smart timer with 30-second pacer, USB fast charging; 30+ days battery. Ideal for daily plaque removal and gum care.",47.99,4.4,In Stock,AA Battery Powered,Splash Resistant
Philips Sonicare,5100,Philips Sonicare 5100 – Navy Gift Set,"Sonic electric toothbrush in Navy (Gift Set). Modes: Clean, White, Gum Care, Sensitive, Deep Clean. Key features: 2-minute smart timer with 30-second pacer, compact travel case included. Ideal for daily plaque removal and gum care.",83.99,4.6,Out of Stock,AA Battery Powered,Fully Waterproof
Philips Sonicare,5100,Philips Sonicare 5100 – Pink Travel Case,"Sonic electric toothbrush in Pink (Travel Case). Modes: Clean, White, Gum Care, Sensitive, Deep Clean. Key features: replacement reminder for brush heads, 2-minute smart timer with 30-second pacer. Ideal for daily plaque removal and gum care.",73.99,4.8,Online Only,Rechargeable Lithium-Ion,Fully Waterproof
Philips Sonicare,5100,Philips Sonicare 5100 – Mint Standard,"Sonic electric toothbrush in Mint (Standard). Modes: Clean, White, Gum Care. Key features: pressure sensor for gentle brushing, USB fast charging; 30+ days battery. Ideal for daily plaque removal and gum care.",80.99,4.5,Limited Edition,AA Battery Powered,Splash Resistant
Philips Sonicare,4100,Philips Sonicare 4100 – Lavender Travel Case,"Sonic electric toothbrush in Lavender (Travel Case). Modes: Clean, White, Gum Care. Key features: replacement reminder for brush heads, pressure sensor for gentle brushing. Ideal for daily plaque removal and gum care.",47.99,4.7,Limited Edition,Rechargeable Lithium-Ion,Splash Resistant
Philips Sonicare,4100,Philips Sonicare 4100 – Black Family Pack (4 heads),"Sonic electric toothbrush in Black (Family Pack (4 heads)). Modes: Clean, White, Gum Care. Key features: pressure sensor for gentle brushing, IPX7 water resistant handle. Ideal for daily plaque removal and gum care.",49.99,4.5,Limited Edition,AA Battery Powered,IPX7 Waterproof
Philips Sonicare,5100,Philips Sonicare 5100 – Mint Gift Set,"Sonic electric toothbrush in Mint (Gift Set). Modes: Clean, White, Gum Care, Sensitive, Deep Clean. Key features: 2-minute smart timer with 30-second pacer, pressure sensor for gentle brushing. Ideal for daily plaque removal and gum care.",72.99,4.7,Limited Edition,AA Battery Powered,IPX7 Waterproof
Philips Sonicare,4100,Philips Sonicare 4100 – Mint Gift Set,"Sonic electric toothbrush in Mint (Gift Set). Modes: Clean, White, Gum Care. Key features: compact travel case included, pressure sensor for gentle brushing. Ideal for daily plaque removal and gum care.",45.99,4.3,In Stock,AA Battery Powered,Fully Waterproof
Philips Sonicare,4100,Philips Sonicare 4100 – White Family Pack (4 heads),"Sonic electric toothbrush in White (Family Pack (4 heads)). Modes: Clean, White, Gum Care. Key features: pressure sensor for gentle brushing, 2-minute smart timer with 30-second pacer. Ideal for daily plaque removal and gum care.",45.99,4.4,Limited Edition,Rechargeable Lithium-Ion,Splash Resistant
Philips Sonicare,4100,Philips Sonicare 4100 – White Travel Case,"Sonic electric toothbrush in White (Travel Case). Modes: Clean, White, Gum Care. Key features: replacement reminder for brush heads, USB fast charging; 30+ days battery. Ideal for daily plaque removal and gum care.",50.99,4.7,Out of Stock,Rechargeable Lithium-Ion,Fully Waterproof
Philips Sonicare,5100,Philips Sonicare 5100 – White Standard,"Sonic electric toothbrush in White (Standard). Modes: Clean, White, Gum Care. Key features: IPX7 water resistant handle, 2-minute smart timer with 30-second pacer. Ideal for daily plaque removal and gum care.",79.99,4.7,In Stock,AA Battery Powered,IPX7 Waterproof
Philips Sonicare,4100,Philips Sonicare 4100 – Black Pro Care (8 heads),"Sonic electric toothbrush in Black (Pro Care (8 heads)). Modes: Clean, White, Gum Care. Key features: 2-minute smart timer with 30-second pacer, IPX7 water resistant handle. Ideal for daily plaque removal and gum care.",48.99,4.4,Limited Edition,AA Battery Powered,IPX7 Waterproof
Philips Sonicare,5100,Philips Sonicare 5100 – White Family Pack (4 heads),"Sonic electric toothbrush in White (Family Pack (4 heads)). Modes: Clean, White, Gum Care. Key features: 2-minute smart timer with 30-second pacer, replacement reminder for brush heads. Ideal for daily plaque removal and gum care.",81.99,4.6,Limited Edition,AA Battery Powered,IPX7 Waterproof
Philips Sonicare,4100,Philips Sonicare 4100 – Mint Pro Care (8 heads),"Sonic electric toothbrush in Mint (Pro Care (8 heads)). Modes: Clean, White, Gum Care, Sensitive, Deep Clean. Key features: compact travel case included, 2-minute smart timer with 30-second pacer. Ideal for daily plaque removal and gum care.",54.99,4.5,In Stock,Rechargeable Lithium-Ion,Fully Waterproof
Philips Sonicare,4100,Philips Sonicare 4100 – Lavender Pro Care (8 heads),"Sonic electric toothbrush in Lavender (Pro Care (8 heads)). Modes: Clean, White, Gum Care, Sensitive. Key features: compact travel case included, 2-minute smart timer with 30-second pacer. Ideal for daily plaque removal and gum care.",51.99,4.4,Out of Stock,NiMH Rechargeable,Fully Waterproof
Philips Sonicare,5100,Philips Sonicare 5100 – Navy Family Pack (4 heads),"Sonic electric toothbrush in Navy (Family Pack (4 heads)). Modes: Clean, White, Gum Care, Sensitive, Deep Clean. Key features: 2-minute smart timer with 30-second pacer, USB fast charging; 30+ days battery. Ideal for daily plaque removal and gum care.",73.99,4.8,Online Only,AA Battery Powered,IPX7 Waterproof
Philips Sonicare,4100,Philips Sonicare 4100 – Teal Standard,"Sonic electric toothbrush in Teal (Standard). Modes: Clean, White, Gum Care. Key features: compact travel case included, IPX7 water resistant handle. Ideal for daily plaque removal and gum care.",45.99,4.7,In Stock,Rechargeable Lithium-Ion,Fully Waterproof
Philips Sonicare,5100,Philips Sonicare 5100 – Navy Travel Case,"Sonic electric toothbrush in Navy (Travel Case). Modes: Clean, White, Gum Care, Sensitive, Deep Clean. Key features: USB fast charging; 30+ days battery, pressure sensor for gentle brushing. Ideal for daily plaque removal and gum care.",72.99,4.5,Online Only,AA Battery Powered,IPX7 Waterproof
Philips Sonicare,4100,Philips Sonicare 4100 – Mint Standard,"Sonic electric toothbrush in Mint (Standard). Modes: Clean, White, Gum Care, Sensitive, Deep Clean. Key features: replacement reminder for brush heads, IPX7 water resistant handle. Ideal for daily plaque removal and gum care.",47.99,4.5,Limited Edition,AA Battery Powered,Fully Waterproof
Philips Sonicare,4100,Philips Sonicare 4100 – Teal Gift Set,"Sonic electric toothbrush in Teal (Gift Set). Modes: Clean, White, Gum Care. Key features: replacement reminder for brush heads, pressure sensor for gentle brushing. Ideal for daily plaque removal and gum care.",54.99,4.4,Out of Stock,NiMH Rechargeable,Fully Waterproof
Philips Sonicare,4100,Philips Sonicare 4100 – White Pro Care (8 heads),"Sonic electric toothbrush in White (Pro Care (8 heads)). Modes: Clean, White, Gum Care. Key features: USB fast charging; 30+ days battery, compact travel case included. Ideal for daily plaque removal and gum care.",48.99,4.5,Limited Edition,AA Battery Powered,Splash Resistant
Philips Sonicare,4100,Philips Sonicare 4100 – Lavender Standard,"Sonic electric toothbrush in Lavender (Standard). Modes: Clean, White, Gum Care, Sensitive, Deep Clean. Key features: compact travel case included, 2-minute smart timer with 30-second pacer. Ideal for daily plaque removal and gum care.",47.99,4.4,In Stock,Rechargeable Lithium-Ion,IPX7 Waterproof
Philips Sonicare,4100,Philips Sonicare 4100 – Teal Travel Case,"Sonic electric toothbrush in Teal (Travel Case). Modes: Clean, White, Gum Care. Key features: compact travel case included, IPX7 water resistant handle. Ideal for daily plaque removal and gum care.",53.99,4.7,Online Only,Rechargeable Lithium-Ion,IPX7 Waterproof
Philips Sonicare,4100,Philips Sonicare 4100 – Mint Travel Case,"Sonic electric toothbrush in Mint (Travel Case). Modes: Clean, White, Gum Care. Key features: replacement reminder for brush heads, IPX7 water resistant handle. Ideal for daily plaque removal and gum care.",53.99,4.5,Online Only,NiMH Rechargeable,Fully Waterproof
Philips Sonicare,4100,Philips Sonicare 4100 – Navy Pro Care (8 heads),"Sonic electric toothbrush in Navy (Pro Care (8 heads)). Modes: Clean, White, Gum Care, Sensitive. Key features: USB fast charging; 30+ days battery, pressure sensor for gentle brushing. Ideal for daily plaque removal and gum care.",50.99,4.5,In Stock,AA Battery Powered,Splash Resistant
Philips Sonicare,5100,Philips Sonicare 5100 – Navy Standard,"Sonic electric toothbrush in Navy (Standard). Modes: Clean, White, Gum Care, Sensitive, Deep Clean. Key features: IPX7 water resistant handle, USB fast charging; 30+ days battery. Ideal for daily plaque removal and gum care.",86.99,4.7,In Stock,Rechargeable Lithium-Ion,IPX7 Waterproof
Philips Sonicare,4100,Philips Sonicare 4100 – Pink Travel Case,"Sonic electric toothbrush in Pink (Travel Case). Modes: Clean, White, Gum Care, Sensitive. Key features: USB fast charging; 30+ days battery, replacement reminder for brush heads. Ideal for daily plaque removal and gum care.",50.99,4.4,Out of Stock,Rechargeable Lithium-Ion,Splash Resistant
Philips Sonicare,4100,Philips Sonicare 4100 – Lavender Gift Set,"Sonic electric toothbrush in Lavender (Gift Set). Modes: Clean, White, Gum Care, Sensitive, Deep Clean. Key features: replacement reminder for brush heads, compact travel case included. Ideal for daily plaque removal and gum care.",47.99,4.5,Online Only,Rechargeable Lithium-Ion,Splash Resistant
Philips Sonicare,5100,Philips Sonicare 5100 – Mint Family Pack (4 heads),"Sonic electric toothbrush in Mint (Family Pack (4 heads)). Modes: Clean, White, Gum Care, Sensitive. Key features: USB fast charging; 30+ days battery, replacement reminder for brush heads. Ideal for daily plaque removal and gum care.",76.99,4.8,Online Only,AA Battery Powered,IPX7 Waterproof
Philips Sonicare,5100,Philips Sonicare 5100 – White Travel Case,"Sonic electric toothbrush in White (Travel Case). Modes: Clean, White, Gum Care, Sensitive. Key features: IPX7 water resistant handle, replacement reminder for brush heads. Ideal for daily plaque removal and gum care.",87.99,4.5,Out of Stock,AA Battery Powered,Splash Resistant
Philips Sonicare,5100,Philips Sonicare 5100 – Black Gift Set,"Sonic electric toothbrush in Black (Gift Set). Modes: Clean, White, Gum Care. Key features: 2-minute smart timer with 30-second pacer, IPX7 water resistant handle. Ideal for daily plaque removal and gum care.",74.99,4.5,Out of Stock,Rechargeable Lithium-Ion,Fully Waterproof
Philips Sonicare,4100,Philips Sonicare 4100 – Teal Pro Care (8 heads),"Sonic electric toothbrush in Teal (Pro Care (8 heads)). Modes: Clean, White, Gum Care. Key features: replacement reminder for brush heads, compact travel case included. Ideal for daily plaque removal and gum care.",46.99,4.4,Limited Edition,NiMH Rechargeable,IPX7 Waterproof
Philips Sonicare,5100,Philips Sonicare 5100 – White Pro Care (8 heads),"Sonic electric toothbrush in White (Pro Care (8 heads)). Modes: Clean, White, Gum Care. Key features: replacement reminder for brush heads, 2-minute smart timer with 30-second pacer. Ideal for daily plaque removal and gum care.",79.99,4.8,Online Only,Rechargeable Lithium-Ion,Splash Resistant
Philips Sonicare,4100,Philips Sonicare 4100 – Black Travel Case,"Sonic electric toothbrush in Black (Travel Case). Modes: Clean, White, Gum Care, Sensitive, Deep Clean. Key features: IPX7 water resistant handle, 2-minute smart timer with 30-second pacer. Ideal for daily plaque removal and gum care.",52.99,4.6,In Stock,NiMH Rechargeable,Splash Resistant
Philips Sonicare,4100,Philips Sonicare 4100 – Navy Travel Case,"Sonic electric toothbrush in Navy (Travel Case). Modes: Clean, White, Gum Care, Sensitive, Deep Clean. Key features: compact travel case included, USB fast charging; 30+ days battery. Ideal for daily plaque removal and gum care.",47.99,4.4,In Stock,AA Battery Powered,IPX7 Waterproof
Philips Sonicare,4100,Philips Sonicare 4100 – Black Gift Set,"Sonic electric toothbrush in Black (Gift Set). Modes: Clean, White, Gum Care, Sensitive, Deep Clean. Key features: pressure sensor for gentle brushing, replacement reminder for brush heads. Ideal for daily plaque removal and gum care.",45.99,4.4,In Stock,NiMH Rechargeable,Splash Resistant
Philips Sonicare,5100,Philips Sonicare 5100 – Pink Gift Set,"Sonic electric toothbrush in Pink (Gift Set). Modes: Clean, White, Gum Care, Sensitive. Key features: pressure sensor for gentle brushing, USB fast charging; 30+ days battery. Ideal for daily plaque removal and gum care.",81.99,4.6,Limited Edition,Rechargeable Lithium-Ion,IPX7 Waterproof
